"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0005737","cytoplasm",2301,246,172.6,73.4,1.7e-15,"<0.001",1.4
"2","GO:0006955","immune response",463,80,34.7,45.3,1.1e-13,"<0.001",2.3
"3","GO:0043207","response to external biotic stimulus",386,71,28.9,42,1.4e-13,"<0.001",2.5
"4","GO:0051707","response to other organism",386,71,28.9,42,1.4e-13,"<0.001",2.5
"5","GO:0005622","intracellular anatomical structure",2694,268,202.1,65.9,3.4e-13,"<0.001",1.3
"6","GO:0009607","response to biotic stimulus",397,71,29.8,41.2,6.2e-13,"<0.001",2.4
"7","GO:0098542","defense response to other organism",280,57,21,36,6.8e-13,"<0.001",2.7
"8","GO:0043226","organelle",2417,240,181.3,58.7,1.7e-10,"<0.001",1.3
"9","GO:0006952","defense response",469,73,35.2,37.8,3e-10,"<0.001",2.1
"10","GO:0045087","innate immune response",226,45,16.9,28.1,5.1e-10,"<0.001",2.7
"11","GO:0043229","intracellular organelle",2307,230,173,57,5.9e-10,"<0.001",1.3
"12","GO:0005515","protein binding",2234,224,167.6,56.4,8.4e-10,"<0.001",1.3
"13","GO:0009605","response to external stimulus",862,109,64.7,44.3,2.4e-09,"<0.001",1.7
"14","GO:0030695","GTPase regulator activity",152,33,11.4,21.6,1.3e-08,"<0.001",2.9
"15","GO:0009617","response to bacterium",227,42,17,25,2e-08,"<0.001",2.5
"16","GO:0060589","nucleoside-triphosphatase regulator activity",155,33,11.6,21.4,2.2e-08,"<0.001",2.8
"17","GO:0005096","GTPase activator activity",148,32,11.1,20.9,2.5e-08,"<0.001",2.9
"18","GO:0051716","cellular response to stimulus",1851,189,138.8,50.2,2.7e-08,"<0.001",1.4
"19","GO:0050789","regulation of biological process",2675,251,200.6,50.4,2.8e-08,"<0.001",1.3
"20","GO:0065009","regulation of molecular function",877,107,65.8,41.2,2.9e-08,"<0.001",1.6
"21","GO:0016020","membrane",2139,211,160.4,50.6,3.3e-08,"<0.001",1.3
"22","GO:0032879","regulation of localization",964,114,72.3,41.7,5.1e-08,"<0.001",1.6
"23","GO:0031410","cytoplasmic vesicle",500,70,37.5,32.5,7.5e-08,"<0.001",1.9
"24","GO:0097708","intracellular vesicle",502,70,37.6,32.4,8.8e-08,"<0.001",1.9
"25","GO:0044237","cellular metabolic process",1878,189,140.8,48.2,9.6e-08,"<0.001",1.3
"26","GO:0043231","intracellular membrane-bounded organelle",2059,203,154.4,48.6,1e-07,"<0.001",1.3
"27","GO:0002831","regulation of response to biotic stimulus",105,25,7.9,17.1,1.2e-07,"<0.001",3.2
"28","GO:0035556","intracellular signal transduction",760,94,57,37,1.5e-07,"<0.001",1.6
"29","GO:0006950","response to stress",926,109,69.5,39.5,1.5e-07,"<0.001",1.6
"30","GO:0044093","positive regulation of molecular function",479,67,35.9,31.1,1.6e-07,"<0.001",1.9
"31","GO:0002221","pattern recognition receptor signaling pathway",54,17,4,12.9,1.9e-07,"<0.001",4.2
"32","GO:0050776","regulation of immune response",246,42,18.4,23.6,2.2e-07,"<0.001",2.3
"33","GO:0071310","cellular response to organic substance",747,92,56,36,2.6e-07,"<0.001",1.6
"34","GO:0001817","regulation of cytokine production",284,46,21.3,24.7,2.8e-07,"<0.001",2.2
"35","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",81,21,6.1,14.9,2.8e-07,"<0.001",3.5
"36","GO:0071706","tumor necrosis factor superfamily cytokine production",81,21,6.1,14.9,2.8e-07,"<0.001",3.5
"37","GO:1901701","cellular response to oxygen-containing compound",369,55,27.7,27.3,3e-07,"<0.001",2
"38","GO:0031982","vesicle",541,72,40.6,31.4,3.8e-07,"<0.001",1.8
"39","GO:0002684","positive regulation of immune system process",334,51,25.1,25.9,4.1e-07,"<0.001",2
"40","GO:0016192","vesicle-mediated transport",441,62,33.1,28.9,4.2e-07,"<0.001",1.9
"41","GO:0001816","cytokine production",289,46,21.7,24.3,4.7e-07,"<0.001",2.1
"42","GO:0007165","signal transduction",1551,160,116.3,43.7,5e-07,"<0.001",1.4
"43","GO:0071216","cellular response to biotic stimulus",84,21,6.3,14.7,5.5e-07,"<0.001",3.3
"44","GO:0048584","positive regulation of response to stimulus",684,85,51.3,33.7,5.8e-07,"<0.001",1.7
"45","GO:0050794","regulation of cellular process",2568,238,192.6,45.4,6.1e-07,"<0.001",1.2
"46","GO:0001819","positive regulation of cytokine production",186,34,13.9,20.1,6.7e-07,"<0.001",2.4
