"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0048856","anatomical structure development",1574,36,16.4,19.6,2.2e-08,"<0.001",2.2
"2","GO:0009653","anatomical structure morphogenesis",895,27,9.3,17.7,2.3e-08,"<0.001",2.9
"3","GO:0060429","epithelium development",360,17,3.7,13.3,5.5e-08,"<0.001",4.5
"4","GO:0022603","regulation of anatomical structure morphogenesis",337,16,3.5,12.5,1.4e-07,"2E-3",4.6
"5","GO:0048646","anatomical structure formation involved in morphogenesis",386,17,4,13,1.5e-07,"2E-3",4.2
"6","GO:0061138","morphogenesis of a branching epithelium",87,9,0.9,8.1,1.9e-07,"2E-3",9.9
"7","GO:0000902","cell morphogenesis",393,17,4.1,12.9,2e-07,"2E-3",4.2
"8","GO:0051674","localization of cell",508,19,5.3,13.7,3e-07,"2E-3",3.6
"9","GO:0048870","cell motility",508,19,5.3,13.7,3e-07,"2E-3",3.6
"10","GO:0007275","multicellular organism development",1469,33,15.3,17.7,3.2e-07,"2E-3",2.2
"11","GO:0007399","nervous system development",815,24,8.5,15.5,3.9e-07,"2E-3",2.8
"12","GO:0048729","tissue morphogenesis",234,13,2.4,10.6,4.6e-07,"2E-3",5.3
"13","GO:0002009","morphogenesis of an epithelium",196,12,2,10,4.9e-07,"2E-3",5.9
"14","GO:0008285","negative regulation of cell population proliferation",196,12,2,10,4.9e-07,"2E-3",5.9
"15","GO:0001763","morphogenesis of a branching structure",97,9,1,8,4.9e-07,"2E-3",8.9
"16","GO:2000145","regulation of cell motility",326,15,3.4,11.6,5.8e-07,"2E-3",4.4
"17","GO:0030111","regulation of Wnt signaling pathway",99,9,1,8,5.9e-07,"2E-3",8.7
"18","GO:0048731","system development",1424,32,14.8,17.2,6.1e-07,"2E-3",2.2
"19","GO:0006928","movement of cell or subcellular component",648,21,6.7,14.3,6.4e-07,"2E-3",3.1
"20","GO:0071772","response to BMP",51,7,0.5,6.5,7.1e-07,"2E-3",13.2
"21","GO:0071773","cellular response to BMP stimulus",51,7,0.5,6.5,7.1e-07,"2E-3",13.2
"22","GO:1905114","cell surface receptor signaling pathway involved in cell-cell signaling",167,11,1.7,9.3,7.6e-07,"2E-3",6.3
"23","GO:0040012","regulation of locomotion",339,15,3.5,11.5,9.6e-07,"2E-3",4.3
"24","GO:0016043","cellular component organization",1397,31,14.5,16.5,1.6e-06,"4.0000000000000001E-3",2.1
"25","GO:0050793","regulation of developmental process",751,22,7.8,14.2,1.7e-06,"4.0000000000000001E-3",2.8
