"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0071944","cell periphery",1755,319,225,94,2.1e-16,"<0.001",1.4
"2","GO:0016020","membrane",2139,357,274.2,82.8,1.3e-12,"<0.001",1.3
"3","GO:0005886","plasma membrane",1576,275,202,73,5.3e-11,"<0.001",1.4
"4","GO:0007275","multicellular organism development",1613,276,206.8,69.2,5.3e-10,"<0.001",1.3
"5","GO:0050794","regulation of cellular process",2568,401,329.2,71.8,6.6e-10,"<0.001",1.2
"6","GO:0050789","regulation of biological process",2675,414,342.9,71.1,8.1e-10,"<0.001",1.2
"7","GO:0005515","protein binding",2234,358,286.4,71.6,8.1e-10,"<0.001",1.3
"8","GO:0048856","anatomical structure development",1741,292,223.2,68.8,1.2e-09,"<0.001",1.3
"9","GO:0009653","anatomical structure morphogenesis",1017,189,130.4,58.6,2.1e-09,"<0.001",1.4
"10","GO:0007154","cell communication",1712,285,219.5,65.5,5.8e-09,"<0.001",1.3
"11","GO:0048731","system development",1567,265,200.9,64.1,6.4e-09,"<0.001",1.3
"12","GO:0007166","cell surface receptor signaling pathway",901,167,115.5,51.5,3.5e-08,"<0.001",1.4
"13","GO:0005737","cytoplasm",2301,359,295,64,3.7e-08,"<0.001",1.2
"14","GO:0048522","positive regulation of cellular process",1557,260,199.6,60.4,3.9e-08,"<0.001",1.3
"15","GO:0042330","taxis",294,70,37.7,32.3,7.1e-08,"<0.001",1.9
"16","GO:0051716","cellular response to stimulus",1851,298,237.3,60.7,9.2e-08,"<0.001",1.3
"17","GO:0031224","intrinsic component of membrane",1404,237,180,57,9.8e-08,"<0.001",1.3
"18","GO:0006935","chemotaxis",293,69,37.6,31.4,1.4e-07,"<0.001",1.8
"19","GO:0007155","cell adhesion",613,121,78.6,42.4,1.4e-07,"<0.001",1.5
"20","GO:0030054","cell junction",768,144,98.5,45.5,2.1e-07,"<0.001",1.5
"21","GO:0007165","signal transduction",1551,255,198.8,56.2,2.9e-07,"<0.001",1.3
