"","Category ID","Category Name","#Genes Category","#Genes Assigned","#Genes Expected","#Genes Enriched","p-value","Corrected p-value","Fold"
"1","GO:0051716","cellular response to stimulus",1547,25,10.2,14.8,1.4e-07,"<0.001",2.4
"2","GO:0048856","anatomical structure development",1574,24,10.4,13.6,1.3e-06,"<0.001",2.3
"3","GO:0007399","nervous system development",815,17,5.4,11.6,3e-06,"2E-3",3.2
"4","GO:0007165","signal transduction",1260,21,8.3,12.7,3.3e-06,"4.0000000000000001E-3",2.5
"5","GO:0030154","cell differentiation",1176,20,7.8,12.2,5.3e-06,"4.0000000000000001E-3",2.6
"6","GO:0043229","intracellular organelle",2323,28,15.3,12.7,5.5e-06,"4.0000000000000001E-3",1.8
"7","GO:0048869","cellular developmental process",1186,20,7.8,12.2,6.1e-06,"4.0000000000000001E-3",2.6
"8","GO:0007154","cell communication",1443,22,9.5,12.5,7e-06,"4.0000000000000001E-3",2.3
"9","GO:0007275","multicellular organism development",1469,22,9.7,12.3,9.7e-06,"4.0000000000000001E-3",2.3
"10","GO:0006886","intracellular protein transport",126,7,0.8,6.2,1.4e-05,"8.0000000000000002E-3",8.4
"11","GO:0043226","organelle",2424,28,16,12,1.5e-05,"8.0000000000000002E-3",1.8
"12","GO:0051128","regulation of cellular component organization",627,14,4.1,9.9,1.7e-05,"8.0000000000000002E-3",3.4
"13","GO:0016043","cellular component organization",1397,21,9.2,11.8,1.9e-05,"8.0000000000000002E-3",2.3
"14","GO:0048468","cell development",733,15,4.8,10.2,2.1e-05,"8.0000000000000002E-3",3.1
"15","GO:0071840","cellular component organization or biogenesis",1413,21,9.3,11.7,2.3e-05,"8.0000000000000002E-3",2.3
"16","GO:0050794","regulation of cellular process",2301,27,15.2,11.8,2.5e-05,"8.0000000000000002E-3",1.8
"17","GO:0048731","system development",1424,21,9.4,11.6,2.7e-05,"8.0000000000000002E-3",2.2
"18","GO:0005515","protein binding",2028,25,13.4,11.6,4.1e-05,"1.4E-2",1.9
"19","GO:0034613","cellular protein localization",341,10,2.3,7.7,4.3e-05,"1.4E-2",4.4
"20","GO:0008104","protein localization",501,12,3.3,8.7,4.4e-05,"1.4E-2",3.6
"21","GO:0070727","cellular macromolecule localization",343,10,2.3,7.7,4.5e-05,"1.4E-2",4.4
"22","GO:0050789","regulation of biological process",2384,27,15.7,11.3,5.5e-05,"1.6E-2",1.7
"23","GO:0046907","intracellular transport",227,8,1.5,6.5,8.3e-05,"2.1999999999999999E-2",5.3
"24","GO:0022008","neurogenesis",625,13,4.1,8.9,8.4e-05,"2.1999999999999999E-2",3.2
"25","GO:0048523","negative regulation of cellular process",1168,18,7.7,10.3,1e-04,"2.5999999999999999E-2",2.3
"26","GO:0005622","intracellular anatomical structure",2645,28,17.5,10.5,0.00012,"2.5999999999999999E-2",1.6
"27","GO:0043227","membrane-bounded organelle",2167,25,14.3,10.7,0.00015,"0.03",1.7
"28","GO:0007166","cell surface receptor signaling pathway",668,13,4.4,8.6,0.00017,"0.03",2.9
"29","GO:0034641","cellular nitrogen compound metabolic process",1095,17,7.2,9.8,0.00017,"3.2000000000000001E-2",2.4
"30","GO:0051129","negative regulation of cellular component organization",188,7,1.2,5.8,0.00018,"3.2000000000000001E-2",5.6
"31","GO:0001822","kidney development",131,6,0.9,5.1,0.00018,"3.2000000000000001E-2",6.9
"32","GO:0042221","response to chemical",995,16,6.6,9.4,2e-04,"0.04",2.4
"33","GO:0048699","generation of neurons",586,12,3.9,8.1,0.00021,"4.3999999999999997E-2",3.1
